did,diagnose
"467","Methamphetamine abuse"
"468","Methyl alcohol intoxicationmethanol"
"469","Migrainetype of headache"
"470","Miscarriage"
"471","Mitral valve prolapseabnormal heart valve"
"472","Mittelschmerzovulation pain"
"473","Molar pregnancygestational trophoblastic disease, pregnancy-related tumor"
"474","Mononucleosiscommon viral illness"
"475","Mosquito bite"
"476","Motion sickness"
"477","Motor neuron diseaseprogressive nerve disorder"
"478","Mouth lacerationmouth cut"
"479","Mouth swelling"
"480","Mouth traumainjury"
"482","Multiple pregnancytwins, triplets, etc"
"483","Multiple sclerosisMS"
"484","Mumpsviral infection involving salivary glands"
"485","Munchausen syndromefabricated illness"
"486","Munchausen syndrome by proxyfabricated illness in a dependent"
"488","Myasthenia gravisautoimmune disease of the nerves, muscles"
"490","Mycoplasma genitaliumsexually transmitted disease"
"491","Myelodysplastic syndromebone marrow failure"
"492","Myocardial infarctionheart attack"
"493","Myocarditisheart muscle inflammation"
"494","Myopathymuscle disease"
"495","Myositismuscle inflammation or infection"
"497","Nail avulsiontraumatic removal of nail"
"498","Nail bruisesubungual hematoma"
"499","Nail contusionswelling of finger and nail"
"500","Nail lacerationnail bed cut"
"501","Narcolepsyuncontrollable sleeping"
"502","Narcoticmorphine, heroin abuse"
"503","Narcoticmorphine, heroin overdose"
"504","Nasal cancertumor"
"505","Nasal fracturebroken nose"
"506","Nasal polypsgrowths"
"507","Nasal traumanose injury"
"508","Nasopharyngeal carcinomatumor"
"509","Neck traumainjury"
"510","Necrotizing fasciitislife-threatening infection"
"511","Neisseria gonorrhea infectionsexually transmitted disease"
"512","Neisseria meningitidis infectionNeisseria meningitidismeningococcus, serious bacterial illness"
"513","Kidney stonenephrolithiasis"
"514","Neurogenic bladderbladder paralysis"
"515","Non venomous snake bite"
"516","Normal menstruation"
"517","Norovirus infectionviral diarrhea, Norwalk virus"
"519","Nursemaid's elbowradial head subluxation"
"520","Obsessive compulsive disorderOCD, anxiety disorder"
"522","Onchocerciasisriver blindness"
"523","Ophthalmoplegiaeye muscle weakness"
"524","Optic neuritisoptic nerve inflammation"
"525","Oral candidiasisthrush, oral yeast"
"526","Oral ulcersmouth ulcers"
"527","Orbital cellulitissoft tissue eye infection"
"528","Orbital fracturebroken bone near the eye"
"529","Orbital massgrowth near the eye"
"530","Orchitisinflammation of the testicles"
"531","Mouth canceroropharyngeal cancer"
"532","Osteoarthritisbone inflammation"
"533","Osteochondritis dissecansjoint disorder"
"534","Osteomyelitisbone infection"
"535","Ear infection, outerotitis externa"
"536","Ear infection, middle earotitis media"
"537","Ototoxicityear toxicity"
"538","Ovarian cancerfemale organ cancer"
"539","Ovarian cystfemale organ fluid collection"
"540","Ovarian torsiontwisting of the ovary"
"541","Overdose"
"542","Overuse syndromeinjury from repetitive activity"
"543","Paget disease of the nipplerare breast cancer"
"544","Pancoast syndromeapical lung tumor"
"545","Pancreatic cancertumor"
"546","Pancreatitispancreas inflammation"
"547","Pancreas inflammationpancreatitis, chronic"
"548","Panic disorder"
"549","Paralytic Ileusintestinal paralysis"
"550","Parasite infection"
"551","Parkinson's diseasemovement disorder"
"552","Paronychiainfection around the nail"
"553","Parotitissalivary gland inflammation"
"554","Patellar dislocationknee cap dislocation"
"555","Patellarknee cap tendon rupture"
"557","Pelvic inflammatory diseasePID, female reproductive organ infection"
"558","Penis carcinomatumor"
"560","Perforated septumhole in skin between nostrils"
"561","Pericarditisheart sac inflammation"
"562","Periodontitisgum inflammation"
"563","Periorbital cellulitisinfection around eye"
"564","Peripheral nerve transectionnerve injury"
"565","Peripheral neuropathynerve damage"
"566","Peripheral vascular diseaseblocked blood vessels"
"567","Peritonitisabdominal cavity inflammation"
"568","Peritonsillar abscesscollection of pus around tonsils"
"569","Personality disorderunhealthy patterns of thinking and behavior"
"570","Pesticide poisoningorganophosphate poisoning"
"571","Pharyngeal pouchZenker's diverticulum, weakening of the esophageal wall"
"572","Pharyngitisthroat infection"
"573","Pheochromocytomaadrenal gland tumor"
"574","Phobiasirrational fear"
"575","Pickwickian syndromesevere obesity"
"576","Pituitary tumor"
"577","Pityriasis roseainflammatory skin rash"
"578","Placenta previaplacenta covers cervix"
"579","Placental abruptionplacenta separation"
"580","Plaguebubonic plague, bacteria yersinia infection"
"581","Plantar fasciitisinflammation of tissue at the bottom of the foot"
"582","Plantar warthuman papilloma virus infection, foot warts"
"583","Pleural effusionabnormal chest fluid"
"584","Pleuritisinflammation of the lung's lining, pleurisy"
"585","Pneumonialung infection"
"586","Pneumothoraxcollapse of lung"
"587","Poisoning"
"588","Poliomyelitispolio"
"589","Polycystic kidney diseaseinherited kidney disorder"
"590","Polycystic ovarian syndromePCOS, female hormonal disorder"
"591","Polycythemia veraincreased number of red blood cells"
"592","Polyphagiaovereating"
"593","Post concussive syndromesymptoms after a concussion"
"594","Post nasal drip"
"595","Post-traumatic stress disorderPTSD"
"596","Posterior inferior cerebellar artery syndromestroke syndrome"
"597","Postural hypotensionlow blood pressure after standing"
"599","Pregnancy"
"600","Premenstrual syndromePMS"
"601","Prescription drug abuse"
"602","Preseptal hematomablood clot in the nose"
"603","Priapismpersistent erection"
"604","Primary affective disorderdepression"
"605","Insomniadifficulty sleeping"
"606","Primary sclerosing cholangitisbile duct disease"
"607","Primary dysmenorrheapainful menstruation"
"608","Prinzmetal anginaheart artery spasm"
"609","Prostate cancermale anatomy cancer"
"611","Prostatitisprostate inflammation"
"612","Pruritus anianal itching"
"613","Pseudogoutcalcium deposit arthritis"
"614","Puerperal depressiondepression after giving birth"
"615","Puerperal psychosisloss of contact with reality after birth"
"616","Pulmonary edemafluid build-up in the lungs"
"617","Pulmonary embolismblood clot in the lungs"
"618","Pulmonary fibrosislung scarring"
"619","Pulmonary hypertensionhigh blood pressure in the lungs"
"620","Pulpitisdental root inflammation"
"621","Puncture wound"
"622","Puncture wound of ankle"
"623","Puncture wound of arm"
"624","Puncture wound of ear"
"625","Puncture wound of eyelid"
"626","Puncture wound of face"
"627","Puncture wound of finger"
"628","Puncture wound of foot"
"629","Puncture wound of hand"
"630","Puncture wound of knee"
"631","Puncture wound, legPuncture wound of leg"
"632","Puncture wound of lip"
"633","Puncture wound of mouth"
"634","Puncture wound of scalp"
"635","Puncture wound of skin"
"636","Puncture wound of toe"
"637","Pyelonephritiskidney infection"
"638","Quaternary syphilislate stage syphilis"
"639","Radial head fracturebroken elbow bone"
"640","Radiator fluidethylene glycol poisoning"
"641","Increased pressure in the skullraised intracranial pressure"
"642","Ramsay Hunt syndromeviral infection causing facial weakness"
"643","Rectal abscesscollection of pus in the rectum"
"644","Rectal cancertumor"
"645","Rectal impactioncollection of pus in the rectumFecal impaction of rectum"
"646","Rectal prolapserectal protrusion"
"647","Rectal ulcer"
"649","Reiter syndrometype of joint inflammation"
"650","Renal arteriovenous malformationAVM, blood vessel abnormality of the kidney"
"651","Renal artery stenosiskidney artery narrowing"
"652","Renal failure, acutesudden kidney failure"
"653","Renal failure, chronicongoing kidney failure"
"654","Renal infarctkidney damage from an area of blocked blood flow"
"655","Renal traumakidney trauma"
"656","Renal vein thrombosiskidney vein clot"
"657","Respiratory failurebreathing failure, ARDS"
"658","Restless legs syndromenervous system disorder"
"659","Retroperitoneal hemorrhageflank bleeding"
"660","Retropharyngeal abscessthroat abscess"
"661","Rhabdomyolysissevere muscle breakdown"
"662","Rheumatoid arthritistype of chronic joint inflammation"
"663","Rhinosporidiosisfungal nasal infection"
"664","Rhinovirus infectioncommon cold"
"665","Rib fracturebroken bone"
"666","Rickettsial infectionstype of bacterial infection"
"667","Rotator cuff syndromeshoulder injury"
"668","Rotavirus infectionintestinal viral infection"
"669","Rubbingisopropyl alcohol overdose"
"670","Salmonella infectioncommon bacterial intestinal infection"
"671","Severe Acute Respiratory SyndromeSARS, serious viral pneumonia"
"672","Scalp lacerationscalp cut"
"673","Scalp swelling"
"674","Scarlet feverpost strep inflammation"
"675","Schistosomiasisparasite infection"
"676","Schizoaffective disorderfeatures of schizophrenia and mood disorder"
"677","Schizophreniachronic impaired reality perception"
"678","Sciaticalower back nerve irritation"
"679","Sclerosing cholangitisprogressive bile duct disease "
"680","Scoliosiscrooked spine"
"681","Scorpion sting"
"682","Scrotal hematomacollection of blood in skin around testicles"
"683","Seasonal affective disorderintermittent seasonal depression"
"684","Sebaceous cystsac under the skin"
"685","Secondary dysmenorrheapainful menstruation"
"686","Self-inflicted injury"
"687","Sepsisserious blood infection"
"688","Septal perforationhole in the skin between nostrils"
"689","Septic arthritisjoint infection"
"690","Septic hipinfected hip joint"
"691","Septic knee jointinfected knee joint"
"692","Septic shocklow blood pressure from serious blood infection"
"693","Serotonin syndromesevere medication reaction"
"694","Serum sicknessabnormal immune system response"
"696","Sexually transmitted diseaseSTD"
"697","Shigellosisbacterial intestinal infection"
"698","Shinglesherpes zoster"
"699","Shocksevere low blood pressure"
"700","Shoulder joint dislocationdislocated shoulder"
"701","Sialolithiasissalivary gland stone"
"702","Sickle cell crisiscomplication of sickle cell disease"
"703","Sickle cell diseasedisease of red blood cells"
"704","Sinusitissinus infection"
"706","Sjogren's syndromedry eyes and mouth"
"707","Skin abscesscollection of pus"
"708","Skin lacerationcut skin"
"709","Skin swelling"
"710","Skull fracturebroken bone"
"711","Slipped capital femoral epiphysisadolescent hip disorder"
"712","Small bowel lymphomaintestinal lymph node cancer"
"714","SmallpoxVariola virus infection"
"715","Smoke inhalation"
"716","Smokingtobacco use disorder"
"717","Social anxiety disordersocial phobia"
"718","Spermatocelesperm-filled epididymal cyst"
"719","Insect bite"
"720","Spinal abscesscollection of spinal pus"
"721","Spinal cord injury, acute"
"722","Splenic infarctiondeath of spleen"
"723","Spondylolisthesisslipped back bone"
"724","Sprainstretched, torn ligament"
"725","Squamous cell cancercommon skin cancer"
"726","Steroid abuse"
"727","Steroid use"
"728","Steven Johnson syndromerare, serious skin disorder"
"729","Muscle strainpulled muscle"
"730","Strangulation of genitaliaconstriction of genital blood supply"
"731","Streptococcus infectionstrep throat bacteria"
"732","Stress"
"733","Stress headachetension headache"
"734","Stress incontinenceunintentional urination with cough or sneeze"
"735","Subarachnoid hemorrhagebrain bleeding"
"736","Subdural hematomableeding on brain"
"737","Substance abuse"
"738","Subungual hematomablood under nail"
"739","Suicide"
"740","Supracondylar fractureelbow fracture"
"741","Swimmer's itchcercarial dermatitis"
"742","Symptomatic dermatographismexaggerated skin response to pressure"
"743","Syphilistreponema pallidum"
"744","Systemic sclerosisscleroderma, progressive soft tissue hardening"
"746","Tarantula biteTarantula Venoms"
"747","Tarsal tunnel syndromefoot nerve damage"
"748","Temporal arteritisinflamed scalp artery"
"749","Temporal lobe epilepsynon-convulsive seizure"
"750","Temporomandibular joint syndromeTMJ, jaw joint pain"
